Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Sphinx of Enlightenment,SCD,Starter Commander Decks,61,normal,mythic,1,77238,0c681f35-e584-45a0-aa4d-bc8955ab1a8a,0.18,false,false,near_mint,en,USD
Faerie Formation,SCD,Starter Commander Decks,51,normal,rare,1,77410,854c4251-c07b-4886-ae12-2b3b61ca2807,0.14,false,false,near_mint,en,USD
Aegis Turtle,FDN,Foundations,150,normal,common,1,101590,c7f2014a-fbc9-447c-a440-e06d01066bb9,0.05,false,false,near_mint,en,USD
Aegis Turtle,FDN,Foundations,150,foil,common,1,101590,c7f2014a-fbc9-447c-a440-e06d01066bb9,0.16,false,false,near_mint,en,USD
Brineborn Cutthroat,FDN,Foundations,152,normal,uncommon,2,100986,acf7aafb-931f-49e5-8691-eab8cb34b05e,0.07,false,false,near_mint,en,USD
Elementalist Adept,FDN,Foundations,36,normal,common,1,101605,d9768cc6-8f53-4922-ae32-376a2f32d719,0.05,false,false,near_mint,en,USD
Fog Bank,FDN,Foundations,591,normal,uncommon,1,100192,18748b1d-4161-482c-a726-8762b4c1819c,0.17,false,false,near_mint,en,USD
Gateway Sneak,FDN,Foundations,592,normal,uncommon,1,100366,3834176f-29c5-4511-87d6-75d0c348a770,0.09,false,false,near_mint,en,USD
Micromancer,FDN,Foundations,158,normal,uncommon,1,101274,e6af54ea-b57a-4e50-8e46-1747cca14430,0.06,false,false,near_mint,en,USD
Mischievous Mystic,FDN,Foundations,47,normal,uncommon,2,100242,20d89cec-528b-4b2a-87db-e11ce0000622,0.14,false,false,near_mint,en,USD
Shipwreck Dowser,FDN,Foundations,596,normal,uncommon,1,100230,1f20fe3d-792a-4030-a25c-e81b48b2bcb4,0.08,false,false,near_mint,en,USD
Tolarian Terror,FDN,Foundations,167,normal,common,1,100270,2569d4f3-55ed-4f99-9592-34c7df0aab72,0.12,false,false,near_mint,en,USD
